timestamp,duration,protocol_type,service,flag,src_bytes,dst_bytes,anomaly_score,is_anomaly
2025-03-13T00:55:05.176060,0.0,tcp,http,S,74,0,0.5999999642372131,True
2025-03-13T00:55:05.210739,1.011591911315918,tcp,other,S,74,0,0.6000000238418579,True
2025-03-13T00:55:05.220158,0.0,tcp,other,SA,74,148,0.20000000298023224,False
2025-03-13T00:55:05.220496,1.0151865482330322,tcp,other,A,66,74,0.6000000238418579,True
2025-03-13T00:55:05.220676,1.0173823833465576,tcp,other,AP,130,74,0.20000000298023224,False
2025-03-13T00:56:12.410924,0.0,tcp,http,S,74,0,0.6000000238418579,True
2025-03-13T00:56:12.411127,0.0,tcp,other,SA,74,74,0.19999998807907104,False
2025-03-13T00:56:12.411224,0.021529197692871094,tcp,other,A,66,74,0.6000000238418579,True
2025-03-13T00:56:12.411317,0.02293109893798828,tcp,other,AP,130,74,0.6000000238418579,True
2025-03-13T00:56:12.411409,0.02478933334350586,tcp,other,AP,2962,74,0.19999998807907104,False
2025-03-13T00:56:12.411500,0.026639223098754883,tcp,other,AP,2962,74,0.20000001788139343,False
2025-03-13T00:56:12.411592,0.028260469436645508,tcp,other,AP,2962,74,0.20000001788139343,False
2025-03-13T00:56:12.411683,0.029750823974609375,tcp,other,AP,2962,74,0.20000000298023224,False
2025-03-13T00:56:12.411810,0.01068735122680664,tcp,other,A,66,12118,0.20000000298023224,False
2025-03-13T00:56:12.411902,0.03199291229248047,tcp,other,A,1514,140,0.20000000298023224,False
2025-03-13T00:56:13.562748,0.02302861213684082,tcp,other,A,66,13632,0.19999998807907104,False
2025-03-13T00:56:13.563010,0.027065277099609375,tcp,other,AP,94,13632,0.20000001788139343,False
2025-03-13T00:56:13.563164,0.03431272506713867,tcp,other,A,66,13632,0.20000000298023224,False
2025-03-13T00:56:13.563312,0.040758371353149414,tcp,other,A,66,13632,0.20000000298023224,False
2025-03-13T00:56:13.563461,0.06332707405090332,tcp,other,AP,2962,432,0.20000000298023224,False
2025-03-13T00:56:13.563616,0.06619954109191895,tcp,other,AP,5858,432,0.19999998807907104,False
2025-03-13T00:56:13.563881,0.06920766830444336,tcp,other,AP,5858,432,0.19999998807907104,False
2025-03-13T00:56:13.564142,0.07219219207763672,tcp,other,AP,5858,432,0.20000000298023224,False
2025-03-13T00:56:13.564330,0.054863691329956055,tcp,other,A,66,34168,0.20000000298023224,False
2025-03-13T00:56:13.564524,0.08271431922912598,tcp,other,AP,23234,498,0.19999998807907104,False
2025-03-13T00:56:14.689129,0.0,tcp,other,S,74,0,0.19999998807907104,False
2025-03-13T00:56:14.689282,0.0,tcp,other,SA,74,74,0.19999997317790985,False
2025-03-13T00:56:14.689375,0.02008962631225586,tcp,http,A,66,74,0.19999997317790985,False
2025-03-13T00:56:14.689467,0.021976709365844727,tcp,http,AP,200,74,0.19999998807907104,False
2025-03-13T00:56:14.689557,0.004841327667236328,tcp,other,A,66,340,0.19999998807907104,False
2025-03-13T00:56:14.689647,0.006235837936401367,tcp,other,A,66,340,0.20000001788139343,False
2025-03-13T00:56:14.689748,0.007521629333496094,tcp,other,AP,251,340,0.19999997317790985,False
2025-03-13T00:56:14.689840,0.027100801467895508,tcp,http,A,66,457,0.20000001788139343,False
2025-03-13T00:56:14.689937,0.009476661682128906,tcp,other,AP,401,406,0.19999998807907104,False
2025-03-13T00:56:14.690054,0.029091835021972656,tcp,http,A,66,858,0.19999998807907104,False
2025-03-13T00:56:15.795095,0.018027782440185547,tcp,other,AF,66,472,0.19999998807907104,False
2025-03-13T00:56:15.795324,0.03758645057678223,tcp,http,AR,66,924,0.19999998807907104,False
2025-03-13T00:56:15.795419,0.03833889961242676,tcp,http,R,54,924,0.19999995827674866,False
2025-03-13T00:56:15.795509,0.0,tcp,other,SA,74,74,0.20000000298023224,False
2025-03-13T00:56:15.795600,0.023255109786987305,tcp,other,A,66,74,0.20000000298023224,False
2025-03-13T00:56:15.795689,0.02757883071899414,tcp,other,AP,130,74,0.20000000298023224,False
2025-03-13T00:56:15.795801,0.03214740753173828,tcp,other,AP,2962,74,0.20000000298023224,False
2025-03-13T00:56:15.795891,0.035016536712646484,tcp,other,AP,2962,74,0.20000000298023224,False
2025-03-13T00:56:15.795979,0.03736114501953125,tcp,other,AP,2962,74,0.20000000298023224,False
2025-03-13T00:56:15.796068,0.03977656364440918,tcp,other,AP,2962,74,0.19999998807907104,False
2025-03-13T00:56:16.935903,0.03356575965881348,tcp,other,A,66,12118,0.20000001788139343,False
2025-03-13T00:56:16.936164,0.05824899673461914,tcp,other,A,1514,140,0.20000000298023224,False
2025-03-13T00:56:16.936257,0.038962364196777344,tcp,other,AP,94,13632,0.19999998807907104,False
2025-03-13T00:56:16.936348,0.06323528289794922,tcp,other,AP,2962,234,0.20000000298023224,False
2025-03-13T00:56:16.936437,0.0652921199798584,tcp,other,A,66,234,0.19999998807907104,False
2025-03-13T00:56:16.936528,0.04459428787231445,tcp,other,A,66,16660,0.20000001788139343,False
2025-03-13T00:56:16.936616,0.06886100769042969,tcp,other,AP,5858,300,0.20000001788139343,False
2025-03-13T00:56:16.936719,0.049764394760131836,tcp,other,A,66,22518,0.20000001788139343,False
2025-03-13T00:56:16.936817,0.0731205940246582,tcp,other,AP,5858,366,0.19999998807907104,False
2025-03-13T00:56:16.936907,0.05214357376098633,tcp,other,A,66,28376,0.19999998807907104,False
2025-03-13T00:56:18.059999,0.0,tcp,http,S,74,0,0.6000000238418579,True
2025-03-13T00:56:18.060174,0.0,tcp,other,SA,74,74,0.19999998807907104,False
2025-03-13T00:56:18.060289,0.015320301055908203,tcp,other,A,66,74,0.5999999642372131,True
2025-03-13T00:56:18.060402,0.017554283142089844,tcp,other,AP,130,74,0.6000000238418579,True
2025-03-13T00:56:18.060513,0.01923990249633789,tcp,other,AP,2962,74,0.20000000298023224,False
2025-03-13T00:56:18.060623,0.020870685577392578,tcp,other,AP,2962,74,0.20000004768371582,False
